country_code,country_name,issuer,instrument_type,isin,description,annual_coupon_percent,periodic_coupon_percent,coupon_frequency,accrual_start_date,first_coupon_date,maturity_date,day_count_convention,currency,source_name,data_status
IT,Italy,Republic of Italy,BTP,IT0005556011,"Btp Tf 3,85% St26 Eur",,1.925000,Semestrale,2023-07-17,2023-07-17,2026-09-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0001086567,"Btp-1nv26 7,25%",,3.625000,Semestrale,1996-11-01,1996-11-01,2026-11-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005210650,Btp Tf 1.25% Dc26 Eur,,0.625000,Semestrale,2016-08-01,2016-08-01,2026-12-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005390874,"Btp Tf 0,85% Ge27 Eur",,0.425000,Semestrale,2019-11-15,2019-11-15,2027-01-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005580045,Btp Fx 2.95% Feb27 Eur,2.950000,1.475000,Semestrale,2024-01-15,2024-01-15,2027-02-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005633794,Btp Fx 2.55% Feb27 Eur,2.550000,1.275000,Semestrale,2025-01-30,2025-01-30,2027-02-25,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005484552,"Btp Tf 1,1% Ap27 Eur",,0.550000,Semestrale,2022-03-01,2022-03-01,2027-04-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005240830,"Btp Tf 2,20% Gn27 Eur",,1.100000,Semestrale,2017-02-01,2017-02-01,2027-06-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005547408,Btp Valore Gn27 Eur,,2.000000,Semestrale,2023-06-13,2023-06-13,2027-06-13,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005599904,Btp Fx 3.45% Jul27 Eur,3.450000,1.725000,Semestrale,2024-06-17,2024-06-17,2027-07-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005274805,"Btp Tf 2,05% Ag27 Eur",,1.025000,Semestrale,2017-07-04,2017-07-04,2027-08-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005657330,Btp Fx 2.1% Aug27 Eur,2.100000,1.050000,Semestrale,2025-06-27,2025-06-27,2027-08-26,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005416570,"Btp Tf 0,95% St27 Eur",,0.475000,Semestrale,2020-07-16,2020-07-16,2027-09-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005622128,Btp Fx 2.7% Oct27 Eur,2.700000,1.350000,Semestrale,2024-11-15,2024-11-15,2027-10-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0001174611,"Btp-1nv27 6,5%",,3.250000,Semestrale,1997-11-01,1997-11-01,2027-11-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005500068,"Btp Tf 2,65% Dc27 Eur",,1.325000,Semestrale,2022-07-04,2022-07-04,2027-12-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005323032,"Btp Tf 2,00% Fb28 Eur",,1.000000,Semestrale,2018-02-01,2018-02-01,2028-02-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005692410,Btp Fx 2.2% Feb28 Eur,2.200000,,Semestrale,2026-01-29,2026-01-29,2028-02-28,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005433690,"Btp Tf 0,25% Mz28 Eur",,0.125000,Semestrale,2021-01-18,2021-01-18,2028-03-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005521981,"Btp Tf 3,4% Ap28 Eur",,1.700000,Semestrale,2022-11-30,2022-11-30,2028-04-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005641029,Btp Fx 2.65% Jun28 Eur,2.650000,1.325000,Semestrale,2025-03-17,2025-03-17,2028-06-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005445306,"Btp Tf 0,5% Lg28 Eur",,0.250000,Semestrale,2021-05-17,2021-05-17,2028-07-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005548315,"Btp Tf 3,8% Ag28 Eur",,1.900000,Semestrale,2023-06-01,2023-06-01,2028-08-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0004889033,"Btp Tf 4,75% St28 Eur",,2.375000,Semestrale,2013-01-22,2013-01-22,2028-09-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005565400,Btp Valore Sc Oct28 Eur,4.100000,1.025000,Trimestrale,2023-10-10,2023-10-10,2028-10-10,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005729733,Btp Fx 3% Oct28 Eur,3.000000,0.516390,Semestrale,2026-08-28,2026-08-28,2028-10-30,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005425761,Btp Futura Nv28 Eur,,0.300000,Semestrale,2020-11-17,2020-11-17,2028-11-17,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
